ACS chemical biology	ACS Chem Biol	101282906	biochemistry	1	NonReview
ACS synthetic biology	ACS Synth Biol	101575075	biochemistry	1	NonReview
Acta biochimica et biophysica Sinica	Acta Biochim Biophys Sin (Shanghai)	101206716	biochemistry	1	NonReview
Advances in biochemical engineering/biotechnology	Adv Biochem Eng Biotechnol	8307733	biochemistry	1	NonReview
Advances in protein chemistry and structural biology	Adv Protein Chem Struct Biol	101497281	biochemistry	1	NonReview
American journal of botany	Am J Bot	370467	biochemistry	1	NonReview
Analytical biochemistry	Anal Biochem	370535	biochemistry	1	NonReview
Annual review of biochemistry	Annu Rev Biochem	2985150R	biochemistry	1	Review
Annual review of phytopathology	Annu Rev Phytopathol	372373	plant	1	Review
Annual review of plant biology	Annu Rev Plant Biol	101140127	plant	1	Review
Applications in plant sciences	Appl Plant Sci	101590473	plant	1	NonReview
Applied microbiology and biotechnology	Appl Microbiol Biotechnol	8406612	biochemistry	1	NonReview
Applied biochemistry and biotechnology	Appl Biochem Biotechnol	8208561	biochemistry	1	NonReview
Archives of biochemistry and biophysics	Arch Biochem Biophys	372430	biochemistry	1	NonReview
Biochemical and biophysical research communications	Biochem Biophys Res Commun	372516	biochemistry	1	NonReview
Biochemistry	Biochemistry	370623	biochemistry	1	NonReview
Biochemistry and cell biology = Biochimie et biologie cellulaire	Biochem Cell Biol	8606068	biochemistry	1	NonReview
Biochemistry and molecular biology education	Biochem Mol Biol Educ	100970605	biochemistry	1	NonReview
Biochemistry. Biokhimii︠a︡	Biochemistry (Mosc)	376536	biochemistry	1	NonReview
Biochimica et biophysica acta. Bioenergetics	Biochim Biophys Acta Bioenerg	101731706	biochemistry	1	NonReview
Biochimica et biophysica acta. Biomembranes	Biochim Biophys Acta Biomembr	101731713	biochemistry	1	NonReview
Biochimica et biophysica acta. Gene regulatory mechanisms	Biochim Biophys Acta Gene Regul Mech	101731723	biochemistry	1	NonReview
Biochimica et biophysica acta. General subjects	Biochim Biophys Acta Gen Subj	101731726	biochemistry	1	NonReview
Biochimica et biophysica acta. Molecular and cell biology of lipids	Biochim Biophys Acta Mol Cell Biol Lipids	101731727	biochemistry	1	NonReview
Biochimica et biophysica acta. Molecular basis of disease	Biochim Biophys Acta Mol Basis Dis	101731730	biochemistry	1	NonReview
Biochimica et biophysica acta. Molecular cell research	Biochim Biophys Acta Mol Cell Res	101731731	biochemistry	1	NonReview
