TITLE	DOI	SPECIES	ENZYME_COMMON_NAME	ENZYME_FULL_NAME	GENBANK	UNIPROT_ID	ALT_ID	SUBSTRATE	PRODUCT
Exploiting the Substrate Promiscuity of Hydroxycinnamoyl-CoA:Shikimate Hydroxycinnamoyl Transferase to Reduce Lignin.	10.1093/pcp/pcw016	Physcomitrella patens	PpHCT1	hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyltransferase	NA	NA	NA	p-coumaroyl-CoA;shikimate;3-hydroxybenzoate;2,5-dihydroxybenzoate;2,3-dihydroxybenzoate;3,4-dihydroxybenzoate;3-aminobenzoate;3-hydroxyanthranilate;5-hydroxyanthranilate;catechol;hydroquinone	p-coumaroyl shikimate;p-coumaroyl 3-hydroxybenzoate;p-coumaroyl gentisate;p-coumaroyl 2,3-dihydroxybenzoate;p-coumaroyl protocatechuate;p-coumaroyl 3-aminobenzoate;p-coumaroyl 3-hydroxyanthranilate;p-coumaroyl 5-hydroxyanthranilate;p-coumaroyl catechol;p-coumaroyl hydroquinone
Exploiting the Substrate Promiscuity of Hydroxycinnamoyl-CoA:Shikimate Hydroxycinnamoyl Transferase to Reduce Lignin.	10.1093/pcp/pcw016	Selaginella moellendorffii	SmHCT1a	hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyltransferase	NA	NA	NA	p-coumaroyl-CoA;shikimate;3-hydroxybenzoate;2,5-dihydroxybenzoate;2,3-dihydroxybenzoate;3,4-dihydroxybenzoate;3-aminobenzoate;3-hydroxyanthranilate;5-hydroxyanthranilate;catechol;hydroquinone	p-coumaroyl shikimate;p-coumaroyl 3-hydroxybenzoate;p-coumaroyl gentisate;p-coumaroyl 2,3-dihydroxybenzoate;p-coumaroyl protocatechuate;p-coumaroyl 3-aminobenzoate;p-coumaroyl 3-hydroxyanthranilate;p-coumaroyl 5-hydroxyanthranilate;p-coumaroyl catechol;p-coumaroyl hydroquinone
Exploiting the Substrate Promiscuity of Hydroxycinnamoyl-CoA:Shikimate Hydroxycinnamoyl Transferase to Reduce Lignin.	10.1093/pcp/pcw016	Pinus radiata	PrHCT	hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyltransferase	NA	NA	NA	p-coumaroyl-CoA;shikimate;3-hydroxybenzoate;2,5-dihydroxybenzoate;2,3-dihydroxybenzoate;3,4-dihydroxybenzoate;3-aminobenzoate;3-hydroxyanthranilate;5-hydroxyanthranilate;catechol;hydroquinone	p-coumaroyl shikimate;p-coumaroyl 3-hydroxybenzoate;p-coumaroyl gentisate;p-coumaroyl 2,3-dihydroxybenzoate;p-coumaroyl protocatechuate;p-coumaroyl 3-aminobenzoate;p-coumaroyl 3-hydroxyanthranilate;p-coumaroyl 5-hydroxyanthranilate;p-coumaroyl catechol;p-coumaroyl hydroquinone
Exploiting the Substrate Promiscuity of Hydroxycinnamoyl-CoA:Shikimate Hydroxycinnamoyl Transferase to Reduce Lignin.	10.1093/pcp/pcw016	Panicum virgatum	PvHCT2a	hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyltransferase	NA	NA	NA	p-coumaroyl-CoA;shikimate;3-hydroxybenzoate;2,5-dihydroxybenzoate;2,3-dihydroxybenzoate;3,4-dihydroxybenzoate;3-aminobenzoate;3-hydroxyanthranilate;5-hydroxyanthranilate;catechol;hydroquinone	p-coumaroyl shikimate;p-coumaroyl 3-hydroxybenzoate;p-coumaroyl gentisate;p-coumaroyl 2,3-dihydroxybenzoate;p-coumaroyl protocatechuate;p-coumaroyl 3-aminobenzoate;p-coumaroyl 3-hydroxyanthranilate;p-coumaroyl 5-hydroxyanthranilate;p-coumaroyl catechol;p-coumaroyl hydroquinone
Exploiting the Substrate Promiscuity of Hydroxycinnamoyl-CoA:Shikimate Hydroxycinnamoyl Transferase to Reduce Lignin.	10.1093/pcp/pcw016	Populus trichocarpa	PtHCT6	hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyltransferase	NA	NA	NA	p-coumaroyl-CoA;shikimate;3-hydroxybenzoate;2,5-dihydroxybenzoate;2,3-dihydroxybenzoate;3,4-dihydroxybenzoate;3-aminobenzoate;3-hydroxyanthranilate;5-hydroxyanthranilate;catechol;hydroquinone	p-coumaroyl shikimate;p-coumaroyl 3-hydroxybenzoate;p-coumaroyl gentisate;p-coumaroyl 2,3-dihydroxybenzoate;p-coumaroyl protocatechuate;p-coumaroyl 3-aminobenzoate;p-coumaroyl 3-hydroxyanthranilate;p-coumaroyl 5-hydroxyanthranilate;p-coumaroyl catechol;p-coumaroyl hydroquinone
Exploiting the Substrate Promiscuity of Hydroxycinnamoyl-CoA:Shikimate Hydroxycinnamoyl Transferase to Reduce Lignin.	10.1093/pcp/pcw016	Arabidopsis thaliana	AtHCT	hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyltransferase	NA	NA	NA	p-coumaroyl-CoA;shikimate;3-hydroxybenzoate;2,5-dihydroxybenzoate;2,3-dihydroxybenzoate;3,4-dihydroxybenzoate;3-aminobenzoate;3-hydroxyanthranilate;5-hydroxyanthranilate;catechol;hydroquinone	p-coumaroyl shikimate;p-coumaroyl 3-hydroxybenzoate;p-coumaroyl gentisate;p-coumaroyl 2,3-dihydroxybenzoate;p-coumaroyl protocatechuate;p-coumaroyl 3-aminobenzoate;p-coumaroyl 3-hydroxyanthranilate;p-coumaroyl 5-hydroxyanthranilate;p-coumaroyl catechol;p-coumaroyl hydroquinone
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Panicum virgatum	PvFMT	Feruloyl-CoA monolignol transferase	XM_039943249.1	NA	Pavir.3KG495300	Feruloyl-CoA; p-coumaroyl-CoA; Monolignols	Monolignol ferulates; Monolignol p-coumarates
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Sorghum bicolor	SbFMT	Feruloyl-CoA monolignol transferase	XM_002441921.2	NA	NA	Feruloyl-CoA; p-coumaroyl-CoA; Monolignols	Monolignol ferulates; Monolignol p-coumarates
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Sorghum bicolor	SbPMT	p-Coumaroyl-CoA monolignol transferase	XM_002439193.2	NA	NA	p-coumaroyl-CoA; Monolignols	Monolignol p-coumarates
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Zea mays	ZmFMT	Feruloyl-CoA monolignol transferase	Zm00001d035246_T001	NA	NA	Feruloyl-CoA; p-coumaroyl-CoA; Monolignols	Monolignol ferulates; Monolignol p-coumarates
Identification and characterization of the key enzyme in the biosynthesis of the neurotoxin β-ODAP in grass pea.	10.1016/j.jbc.2022.101806	Lathyrus sativus	BOS	β-ODAP synthetase	NA	NA	NA	oxalyl-CoA	β-ODAP
Identification and characterization of the key enzyme in the biosynthesis of the neurotoxin β-ODAP in grass pea.	10.1016/j.jbc.2022.101806	Lathyrus sativus	BOS	β-ODAP synthetase	NA	NA	NA	L-DAPA	β-ODAP
