TITLE	DOI	SPECIES	ENZYME_COMMON_NAME	ENZYME_FULL_NAME	GENBANK	UNIPROT_ID	ALT_ID	SUBSTRATE	PRODUCT
Exploiting the Substrate Promiscuity of Hydroxycinnamoyl-CoA:Shikimate Hydroxycinnamoyl Transferase to Reduce Lignin.	10.1093/pcp/pcw016	Physcomitrella patens	PpHCT1	hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyltransferase	KU513965	NA	Pp3c2_29140V1.1	p-coumaroyl-CoA;shikimate;3-hydroxybenzoate;2,5-dihydroxybenzoate;2,3-dihydroxybenzoate;3,4-dihydroxybenzoate;3-aminobenzoate;3-hydroxyanthranilate;5-hydroxyanthranilate;catechol;hydroquinone	p-coumaroyl shikimate;p-coumaroyl 3-hydroxybenzoate;p-coumaroyl gentisate;p-coumaroyl 2,3-dihydroxybenzoate;p-coumaroyl protocatechuate;p-coumaroyl 3-aminobenzoate;p-coumaroyl 3-hydroxyanthranilate;p-coumaroyl 5-hydroxyanthranilate;p-coumaroyl catechol;p-coumaroyl hydroquinone
Exploiting the Substrate Promiscuity of Hydroxycinnamoyl-CoA:Shikimate Hydroxycinnamoyl Transferase to Reduce Lignin.	10.1093/pcp/pcw016	Selaginella moellendorffii	SmHCT1a	hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyltransferase	XP_002991534.1	NA	NA	p-coumaroyl-CoA;shikimate;3-hydroxybenzoate;2,5-dihydroxybenzoate;2,3-dihydroxybenzoate;3,4-dihydroxybenzoate;3-aminobenzoate;3-hydroxyanthranilate;5-hydroxyanthranilate;catechol;hydroquinone	p-coumaroyl shikimate;p-coumaroyl 3-hydroxybenzoate;p-coumaroyl gentisate;p-coumaroyl 2,3-dihydroxybenzoate;p-coumaroyl protocatechuate;p-coumaroyl 3-aminobenzoate;p-coumaroyl 3-hydroxyanthranilate;p-coumaroyl 5-hydroxyanthranilate;p-coumaroyl catechol;p-coumaroyl hydroquinone
Exploiting the Substrate Promiscuity of Hydroxycinnamoyl-CoA:Shikimate Hydroxycinnamoyl Transferase to Reduce Lignin.	10.1093/pcp/pcw016	Pinus radiata	PrHCT	hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyltransferase	ABO52899.1	NA	NA	p-coumaroyl-CoA;shikimate;3-hydroxybenzoate;2,5-dihydroxybenzoate;2,3-dihydroxybenzoate;3,4-dihydroxybenzoate;3-aminobenzoate;3-hydroxyanthranilate;5-hydroxyanthranilate;catechol;hydroquinone	p-coumaroyl shikimate;p-coumaroyl 3-hydroxybenzoate;p-coumaroyl gentisate;p-coumaroyl 2,3-dihydroxybenzoate;p-coumaroyl protocatechuate;p-coumaroyl 3-aminobenzoate;p-coumaroyl 3-hydroxyanthranilate;p-coumaroyl 5-hydroxyanthranilate;p-coumaroyl catechol;p-coumaroyl hydroquinone
Exploiting the Substrate Promiscuity of Hydroxycinnamoyl-CoA:Shikimate Hydroxycinnamoyl Transferase to Reduce Lignin.	10.1093/pcp/pcw016	Panicum virgatum	PvHCT2a	Hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyl transferase	AGM90558.1	NA	NA	p-coumaroyl-CoA;shikimate;3-hydroxybenzoate;2,5-dihydroxybenzoate;2,3-dihydroxybenzoate;3,4-dihydroxybenzoate;3-aminobenzoate;3-hydroxyanthranilate;5-hydroxyanthranilate;catechol;hydroquinone;gentisate;protocatechuate;2,3-dihydroxybenzoate;3-hydroxyanthranilate;5-hydroxyanthranilate;3-aminobenzoate;hydroquinone	p-coumaroyl shikimate;p-coumaroyl 3-hydroxybenzoate;p-coumaroyl gentisate;p-coumaroyl 2,3-dihydroxybenzoate;p-coumaroyl protocatechuate;p-coumaroyl 3-aminobenzoate;p-coumaroyl 3-hydroxyanthranilate;p-coumaroyl 5-hydroxyanthranilate;p-coumaroyl catechol;p-coumaroyl hydroquinone
Exploiting the Substrate Promiscuity of Hydroxycinnamoyl-CoA:Shikimate Hydroxycinnamoyl Transferase to Reduce Lignin.	10.1093/pcp/pcw016	Populus trichocarpa	PtHCT6	Hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyl transferase	XP_006368492.1	NA	NA	p-coumaroyl-CoA;shikimate;3-hydroxybenzoate;2,5-dihydroxybenzoate;2,3-dihydroxybenzoate;3,4-dihydroxybenzoate;3-aminobenzoate;3-hydroxyanthranilate;5-hydroxyanthranilate;catechol;hydroquinone	p-coumaroyl shikimate;p-coumaroyl 3-hydroxybenzoate;p-coumaroyl gentisate;p-coumaroyl 2,3-dihydroxybenzoate;p-coumaroyl protocatechuate;p-coumaroyl 3-aminobenzoate;p-coumaroyl 3-hydroxyanthranilate;p-coumaroyl 5-hydroxyanthranilate;p-coumaroyl catechol;p-coumaroyl hydroquinone
Exploiting the Substrate Promiscuity of Hydroxycinnamoyl-CoA:Shikimate Hydroxycinnamoyl Transferase to Reduce Lignin.	10.1093/pcp/pcw016	Arabidopsis thaliana	AtHCT	Hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyl transferase	NP_199704.1	NA	At5g48930	p-coumaroyl-CoA;shikimate;3-hydroxybenzoate;2,5-dihydroxybenzoate;2,3-dihydroxybenzoate;3,4-dihydroxybenzoate;3-aminobenzoate;3-hydroxyanthranilate;5-hydroxyanthranilate;catechol;hydroquinone	p-coumaroyl shikimate;p-coumaroyl 3-hydroxybenzoate;p-coumaroyl gentisate;p-coumaroyl 2,3-dihydroxybenzoate;p-coumaroyl protocatechuate;p-coumaroyl 3-aminobenzoate;p-coumaroyl 3-hydroxyanthranilate;p-coumaroyl 5-hydroxyanthranilate;p-coumaroyl catechol;p-coumaroyl hydroquinone
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Panicum virgatum	PvFMT	Feruloyl-CoA monolignol transferase	XM_039943249.1	NA	Pavir.3KG495300	Feruloyl-CoA; p-coumaroyl-CoA; Monolignols	Monolignol ferulates; Monolignol p-coumarates
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Panicum virgatum	PvFMT	Feruloyl-CoA monolignol transferase	Pavir.3KG495300	NA	NA	feruloyl-CoA;coniferyl alcohol	coniferyl ferulate
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Panicum virgatum	PvFMT	Feruloyl-CoA monolignol transferase	Pavir.3KG495300	NA	NA	feruloyl-CoA;sinapyl alcohol	sinapyl ferulate
Identification and characterization of a set of monocot BAHD monolignol transferases.	10.1093/plphys/kiac035	Panicum virgatum	PvFMT	Feruloyl-CoA monolignol transferase	Pavir.3KG495300	NA	NA	p-coumaroyl-CoA;coniferyl alcohol	coniferyl p-coumarate
